trip_status,ride_hailing_app,customer,trip_type,trip_type_dummy,driver_gender,driver_gender_dummy,country,rub_usd_exchange_rate,price_rub,price_usd,distance_kms,temperature_value,precipitation,precipitation_dummy,price_per_kms_usd,trip_time,trip_time_minutes,time_of_day,Time_of_day_disc,city,If_city_SP
Completed,Uber,stantyan,uberX,1,Male,1,Russia,51.28,265,5.17,9.29,12,none,1,0.556512379,0.000104167,0, 01:26AM,1,Saint Petersburg,1
Completed,Uber,stantyan,uberX,1,Male,1,Russia,51.28,255,4.97,9.93,10,none,1,0.500503525,0.000300926,0, 01:49AM,1,Saint Petersburg,1
Completed,Uber,stantyan,uberX,1,Male,1,Russia,49.5,644,13.01,18.01,14,none,1,0.722376458,0.000694444,1, 01:51AM,1,Saint Petersburg,1
Completed,Uber,stantyan,uberBLACK,0,Male,1,Russia,49.53,1287,25.99,5.1,3,none,1,252.3529412,0.000694444,1, 02:15AM,2,Saint Petersburg,1
Completed,Uber,stantyan,uberX,1,Male,1,Russia,49.53,665,13.43,21.92,3,none,1,0.612682482,0.000694444,1, 02:31AM,2,Saint Petersburg,1
Completed,Uber,stantyan,uberX,1,Male,1,Russia,49.26,200,4.06,4.88,7,none,1,0.831967213,0.000810185,1, 04:14AM,4,Saint Petersburg,1
Completed,Uber,stantyan,uberX,1,Male,1,Russia,49.26,463,9.4,18.65,6,none,1,0.504021448,0.001550926,2, 04:26AM,4,Saint Petersburg,1
Completed,Uber,stantyan,uberX,1,Male,1,Russia,49.55,431,8.7,12.62,6,none,1,0.689381933,0.001851852,2, 04:35AM,4,Saint Petersburg,1
Completed,Uber,stantyan,uberX,1,Male,1,Russia,49.55,162,3.27,5.94,8,none,1,0.550505051,0.002037037,3, 05:46AM,5,Saint Petersburg,1
Completed,Uber,stantyan,uberX,1,Male,1,Russia,49.55,350,7.06,17.38,9,none,1,0.406214039,0.002210648,3, 05:50AM,5,Saint Petersburg,1
Completed,Uber,stantyan,uberX,1,Male,1,Russia,50.11,214,4.27,5.66,14,none,1,0.754416961,0.002337963,3, 06:09AM,6,Saint Petersburg,1
Completed,Uber,stantyan,uberX,1,Female,0,Russia,52.25,400,7.66,14.3,32,rain,0,0.535664336,0.002395833,3, 08:20AM,8,Ekaterinburg,0
Completed,Uber,stantyan,uberX,1,Male,1,Russia,53.49,400,7.48,13.33,19,rain,0,0.561140285,0.002569444,3, 08:43AM,8,Ekaterinburg,0
Completed,Uber,stantyan,uberX,1,Male,1,Russia,54.34,228,4.2,9.41,29,rain,0,0.446333688,0.002615741,3, 09:02AM,9,Ekaterinburg,0
Completed,Uber,stantyan,uberX,1,Male,1,Russia,54.34,88,1.62,0.29,28,rain,0,5.586206897,0.002650463,4, 09:23AM,9,Ekaterinburg,0
Completed,Uber,stantyan,uberX,1,Male,1,Russia,56.05,124,2.21,8.4,17,rain,0,0.263095238,0.00287037,4, 09:35AM,9,Ekaterinburg,0
Completed,Uber,stantyan,uberX,1,Male,1,Russia,56.3,97,1.72,4.33,25,rain,0,0.397228637,0.002916667,4, 09:37AM,9,Ekaterinburg,0
Completed,Uber,stantyan,uberX,1,Female,0,Russia,56.3,114,2.03,4.75,21,rain,0,0.427368421,0.002951389,4, 09:37AM,9,Ekaterinburg,0
Completed,Uber,stantyan,uberX,1,Male,1,Russia,56.28,400,7.11,14.61,11,rain,0,0.486652977,0.003125,4, 09:38AM,9,Ekaterinburg,0
Completed,Uber,stantyan,uberX,1,Male,1,Russia,55.23,184,3.33,5.05,19,none,1,0.659405941,0.003148148,4, 09:47AM,9,Saint Petersburg,1
Completed,Gett,stantyan,Comfort,0,Male,1,Russia,55.23,312,5.65,12.81,19,none,1,24.3559719,0.003171296,4, 09:52AM,9,Saint Petersburg,1
Cancelled,Uber,stantyan,uberBLACK,0,Male,1,Russia,55.17,180,3.26,0.1,17,none,1,1800,0.003229167,4, 09:56AM,9,Saint Petersburg,1
Completed,Uber,stantyan,uberX,1,Male,1,Russia,55.17,573,10.39,29.08,20,none,1,0.357290234,0.003240741,4, 1:44AM,1,Saint Petersburg,1
Completed,Uber,stantyan,uberX,1,Male,1,Russia,55.17,1000,18.13,24,21,none,1,0.755416667,0.0034375,5, 1:55AM,1,Saint Petersburg,1
Completed,Uber,stantyan,uberX,1,Male,1,Russia,55.17,1000,18.13,19.1,16,none,1,0.94921466,0.003472222,5, 10:03AM,10,Saint Petersburg,1
